"CURSO";"N° QUESTÃO";"N° ACERTOS";"N° ERROS";"NOME PROVA";"OPÇÃO LÍNGUA"
"AEM1AN-AIA - Leitura e Produção de Textos";"2";"7";"8";"Prova Objetiva";" - "
"AEM1AN-AIA - Leitura e Produção de Textos";"3";"9";"6";"Prova Objetiva";" - "
"AEM1AN-AIA - Leitura e Produção de Textos";"4";"14";"1";"Prova Objetiva";" - "
"AEM1AN-AIA - Leitura e Produção de Textos";"5";"14";"1";"Prova Objetiva";" - "
"AEM1AN-AIA - Leitura e Produção de Textos";"6";"14";"1";"Prova Objetiva";" - "
"AEM1AN-AIA - Leitura e Produção de Textos";"7";"15";"0";"Prova Objetiva";" - "
"AEM1AN-AIA - Leitura e Produção de Textos";"8";"3";"12";"Prova Objetiva";" - "
"AEM1AN-AIA - Matemática";"2";"13";"4";"Prova Objetiva";" - "
"AEM1AN-AIA - Matemática";"3";"13";"4";"Prova Objetiva";" - "
"AEM1AN-AIA - Matemática";"4";"9";"8";"Prova Objetiva";" - "
"AEM1AN-AIA - Matemática";"5";"11";"6";"Prova Objetiva";" - "
"AEM1AN-AIA - Matemática";"6";"12";"5";"Prova Objetiva";" - "
"AEM1AN-AIA - Matemática";"7";"0";"17";"Prova Objetiva";" - "
"AEM1AN-AIA - Matemática";"8";"11";"6";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"2";"4";"13";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"3";"4";"13";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"4";"2";"15";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"5";"2";"15";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"6";"4";"13";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"7";"8";"9";"Prova Objetiva";" - "
"AEM1AN-AIA - Microeconomia";"8";"10";"7";"Prova Objetiva";" - "
"AEM1AN-AIA - Teorias da Administração";"2";"12";"4";"Prova Objetiva";" - "
"AEM1AN-AIA - Teorias da Administração";"3";"10";"6";"Prova Objetiva";" - "
"AEM1AN-AIA - Teorias da Administração";"4";"9";"7";"Prova Objetiva";" - "
"AEM1AN-AIA - Teorias da Administração";"5";"9";"7";"Prova Objetiva";" - "
"AEM1AN-AIA - Teorias da Administração";"6";"13";"3";"Prova Objetiva";" - "
"AEM1AN-AIA - Teorias da Administração";"7";"15";"1";"Prova Objetiva";" - "
"AEM1AN-AIA - Teorias da Administração";"8";"14";"2";"Prova Objetiva";" - "
"AEM1AN-AIB - Leitura e Produção de Textos";"2";"5";"5";"Prova Objetiva";" - "
"AEM1AN-AIB - Leitura e Produção de Textos";"3";"9";"1";"Prova Objetiva";" - "
"AEM1AN-AIB - Leitura e Produção de Textos";"4";"10";"0";"Prova Objetiva";" - "
"AEM1AN-AIB - Leitura e Produção de Textos";"5";"9";"1";"Prova Objetiva";" - "
"AEM1AN-AIB - Leitura e Produção de Textos";"6";"8";"2";"Prova Objetiva";" - "
"AEM1AN-AIB - Leitura e Produção de Textos";"7";"6";"4";"Prova Objetiva";" - "
"AEM1AN-AIB - Leitura e Produção de Textos";"8";"4";"6";"Prova Objetiva";" - "
"AEM1AN-AIB - Matemática";"2";"9";"5";"Prova Objetiva";" - "
"AEM1AN-AIB - Matemática";"3";"5";"9";"Prova Objetiva";" - "
"AEM1AN-AIB - Matemática";"4";"2";"12";"Prova Objetiva";" - "
"AEM1AN-AIB - Matemática";"5";"2";"12";"Prova Objetiva";" - "
"AEM1AN-AIB - Matemática";"6";"10";"4";"Prova Objetiva";" - "
"AEM1AN-AIB - Matemática";"7";"0";"14";"Prova Objetiva";" - "
"AEM1AN-AIB - Matemática";"8";"9";"5";"Prova Objetiva";" - "
"AEM1AN-AIB - Microeconomia";"2";"5";"9";"Prova Objetiva";" - "
"AEM1AN-AIB - Microeconomia";"3";"8";"6";"Prova Objetiva";" - "
"AEM1AN-AIB - Microeconomia";"4";"3";"11";"Prova Objetiva";" - "
"AEM1AN-AIB - Microeconomia";"5";"1";"13";"Prova Objetiva";" - "
"AEM1AN-AIB - Microeconomia";"6";"4";"10";"Prova Objetiva";" - "
"AEM1AN-AIB - Microeconomia";"7";"8";"6";"Prova Objetiva";" - "
"AEM1AN-AIB - Microeconomia";"8";"11";"3";"Prova Objetiva";" - "
"AEM1AN-AIB - Teorias da Administração";"2";"5";"5";"Prova Objetiva";" - "
"AEM1AN-AIB - Teorias da Administração";"3";"5";"5";"Prova Objetiva";" - "
"AEM1AN-AIB - Teorias da Administração";"4";"7";"3";"Prova Objetiva";" - "
"AEM1AN-AIB - Teorias da Administração";"5";"7";"3";"Prova Objetiva";" - "
"AEM1AN-AIB - Teorias da Administração";"6";"4";"6";"Prova Objetiva";" - "
"AEM1AN-AIB - Teorias da Administração";"7";"5";"5";"Prova Objetiva";" - "
"AEM1AN-AIB - Teorias da Administração";"8";"8";"2";"Prova Objetiva";" - "
"AEM1AN-AIC - Leitura e Produção de Textos";"2";"2";"16";"Prova Objetiva";" - "
"AEM1AN-AIC - Leitura e Produção de Textos";"3";"17";"1";"Prova Objetiva";" - "
"AEM1AN-AIC - Leitura e Produção de Textos";"4";"18";"0";"Prova Objetiva";" - "
"AEM1AN-AIC - Leitura e Produção de Textos";"5";"9";"9";"Prova Objetiva";" - "
"AEM1AN-AIC - Leitura e Produção de Textos";"6";"16";"2";"Prova Objetiva";" - "
"AEM1AN-AIC - Leitura e Produção de Textos";"7";"14";"4";"Prova Objetiva";" - "
"AEM1AN-AIC - Leitura e Produção de Textos";"8";"6";"12";"Prova Objetiva";" - "
"AEM1AN-AIC - Matemática";"2";"8";"17";"Prova Objetiva";" - "
"AEM1AN-AIC - Matemática";"3";"7";"18";"Prova Objetiva";" - "
"AEM1AN-AIC - Matemática";"4";"9";"16";"Prova Objetiva";" - "
"AEM1AN-AIC - Matemática";"5";"21";"4";"Prova Objetiva";" - "
"AEM1AN-AIC - Matemática";"6";"20";"5";"Prova Objetiva";" - "
"AEM1AN-AIC - Matemática";"7";"0";"25";"Prova Objetiva";" - "
"AEM1AN-AIC - Matemática";"8";"23";"2";"Prova Objetiva";" - "
"AEM1AN-AIC - Microeconomia";"2";"12";"6";"Prova Objetiva";" - "
"AEM1AN-AIC - Microeconomia";"3";"17";"1";"Prova Objetiva";" - "
"AEM1AN-AIC - Microeconomia";"4";"9";"9";"Prova Objetiva";" - "
"AEM1AN-AIC - Microeconomia";"5";"1";"17";"Prova Objetiva";" - "
"AEM1AN-AIC - Microeconomia";"6";"15";"3";"Prova Objetiva";" - "
"AEM1AN-AIC - Microeconomia";"7";"16";"2";"Prova Objetiva";" - "
"AEM1AN-AIC - Microeconomia";"8";"13";"5";"Prova Objetiva";" - "
"AEM1AN-AIC - Teorias da Administração";"2";"2";"16";"Prova Objetiva";" - "
"AEM1AN-AIC - Teorias da Administração";"3";"17";"1";"Prova Objetiva";" - "
"AEM1AN-AIC - Teorias da Administração";"4";"8";"10";"Prova Objetiva";" - "
"AEM1AN-AIC - Teorias da Administração";"5";"12";"6";"Prova Objetiva";" - "
"AEM1AN-AIC - Teorias da Administração";"6";"5";"13";"Prova Objetiva";" - "
"AEM1AN-AIC - Teorias da Administração";"7";"15";"3";"Prova Objetiva";" - "
"AEM1AN-AIC - Teorias da Administração";"8";"16";"2";"Prova Objetiva";" - "
"AEM1AN-BRA - Leitura e Produção de Textos";"2";"1";"12";"Prova Objetiva";" - "
"AEM1AN-BRA - Leitura e Produção de Textos";"3";"12";"1";"Prova Objetiva";" - "
"AEM1AN-BRA - Leitura e Produção de Textos";"4";"12";"1";"Prova Objetiva";" - "
"AEM1AN-BRA - Leitura e Produção de Textos";"5";"4";"9";"Prova Objetiva";" - "
"AEM1AN-BRA - Leitura e Produção de Textos";"6";"9";"4";"Prova Objetiva";" - "
"AEM1AN-BRA - Leitura e Produção de Textos";"7";"7";"6";"Prova Objetiva";" - "
"AEM1AN-BRA - Leitura e Produção de Textos";"8";"2";"11";"Prova Objetiva";" - "
"AEM1AN-BRA - Matemática";"2";"6";"8";"Prova Objetiva";" - "
"AEM1AN-BRA - Matemática";"3";"5";"9";"Prova Objetiva";" - "
"AEM1AN-BRA - Matemática";"4";"6";"8";"Prova Objetiva";" - "
"AEM1AN-BRA - Matemática";"5";"4";"10";"Prova Objetiva";" - "
"AEM1AN-BRA - Matemática";"6";"6";"8";"Prova Objetiva";" - "
"AEM1AN-BRA - Matemática";"7";"0";"14";"Prova Objetiva";" - "
"AEM1AN-BRA - Matemática";"8";"7";"7";"Prova Objetiva";" - "
"AEM1AN-BRA - Microeconomia";"2";"7";"5";"Prova Objetiva";" - "
"AEM1AN-BRA - Microeconomia";"3";"7";"5";"Prova Objetiva";" - "
"AEM1AN-BRA - Microeconomia";"4";"1";"11";"Prova Objetiva";" - "
"AEM1AN-BRA - Microeconomia";"5";"0";"12";"Prova Objetiva";" - "
"AEM1AN-BRA - Microeconomia";"6";"5";"7";"Prova Objetiva";" - "
"AEM1AN-BRA - Microeconomia";"7";"5";"7";"Prova Objetiva";" - "
"AEM1AN-BRA - Microeconomia";"8";"7";"5";"Prova Objetiva";" - "
"AEM1AN-BRA - Teorias da Administração";"2";"7";"6";"Prova Objetiva";" - "
"AEM1AN-BRA - Teorias da Administração";"3";"7";"6";"Prova Objetiva";" - "
"AEM1AN-BRA - Teorias da Administração";"4";"10";"3";"Prova Objetiva";" - "
"AEM1AN-BRA - Teorias da Administração";"5";"5";"8";"Prova Objetiva";" - "
"AEM1AN-BRA - Teorias da Administração";"6";"9";"4";"Prova Objetiva";" - "
"AEM1AN-BRA - Teorias da Administração";"7";"6";"7";"Prova Objetiva";" - "
"AEM1AN-BRA - Teorias da Administração";"8";"13";"0";"Prova Objetiva";" - "
"AEM1AN-COA - Matemática";"2";"5";"9";"Prova Objetiva";" - "
"AEM1AN-COA - Matemática";"3";"2";"12";"Prova Objetiva";" - "
"AEM1AN-COA - Matemática";"4";"7";"7";"Prova Objetiva";" - "
"AEM1AN-COA - Matemática";"5";"9";"5";"Prova Objetiva";" - "
"AEM1AN-COA - Matemática";"6";"10";"4";"Prova Objetiva";" - "
"AEM1AN-COA - Matemática";"7";"0";"14";"Prova Objetiva";" - "
"AEM1AN-COA - Matemática";"8";"7";"7";"Prova Objetiva";" - "
"AEM1AN-COA - Microeconomia";"2";"9";"4";"Prova Objetiva";" - "
"AEM1AN-COA - Microeconomia";"3";"9";"4";"Prova Objetiva";" - "
"AEM1AN-COA - Microeconomia";"4";"7";"6";"Prova Objetiva";" - "
"AEM1AN-COA - Microeconomia";"5";"0";"13";"Prova Objetiva";" - "
"AEM1AN-COA - Microeconomia";"6";"4";"9";"Prova Objetiva";" - "
"AEM1AN-COA - Microeconomia";"7";"2";"11";"Prova Objetiva";" - "
"AEM1AN-COA - Microeconomia";"8";"7";"6";"Prova Objetiva";" - "
"AEM1AN-COA - Teorias da Administração";"2";"3";"12";"Prova Objetiva";" - "
"AEM1AN-COA - Teorias da Administração";"3";"9";"6";"Prova Objetiva";" - "
"AEM1AN-COA - Teorias da Administração";"4";"12";"3";"Prova Objetiva";" - "
"AEM1AN-COA - Teorias da Administração";"5";"8";"7";"Prova Objetiva";" - "
"AEM1AN-COA - Teorias da Administração";"6";"7";"8";"Prova Objetiva";" - "
"AEM1AN-COA - Teorias da Administração";"7";"7";"8";"Prova Objetiva";" - "
"AEM1AN-COA - Teorias da Administração";"8";"14";"1";"Prova Objetiva";" - "
"AEM1BN-AIA - Estatística Aplicada";"2";"9";"4";"Prova Objetiva";" - "
"AEM1BN-AIA - Estatística Aplicada";"3";"6";"7";"Prova Objetiva";" - "
"AEM1BN-AIA - Estatística Aplicada";"4";"7";"6";"Prova Objetiva";" - "
"AEM1BN-AIA - Estatística Aplicada";"5";"1";"12";"Prova Objetiva";" - "
"AEM1BN-AIA - Estatística Aplicada";"6";"5";"8";"Prova Objetiva";" - "
"AEM1BN-AIA - Estatística Aplicada";"7";"2";"11";"Prova Objetiva";" - "
"AEM1BN-AIA - Estatística Aplicada";"8";"6";"7";"Prova Objetiva";" - "
"AEM1BN-AIA - Macroeconomia";"2";"6";"5";"Prova Objetiva";" - "
"AEM1BN-AIA - Macroeconomia";"3";"4";"7";"Prova Objetiva";" - "
"AEM1BN-AIA - Macroeconomia";"4";"6";"5";"Prova Objetiva";" - "
"AEM1BN-AIA - Macroeconomia";"5";"5";"6";"Prova Objetiva";" - "
"AEM1BN-AIA - Macroeconomia";"6";"6";"5";"Prova Objetiva";" - "
"AEM1BN-AIA - Macroeconomia";"7";"7";"4";"Prova Objetiva";" - "
"AEM1BN-AIA - Macroeconomia";"8";"0";"11";"Prova Objetiva";" - "
"AEM1BN-AIB - Estatística Aplicada";"2";"10";"5";"Prova Objetiva";" - "
"AEM1BN-AIB - Estatística Aplicada";"3";"8";"7";"Prova Objetiva";" - "
"AEM1BN-AIB - Estatística Aplicada";"4";"7";"8";"Prova Objetiva";" - "
"AEM1BN-AIB - Estatística Aplicada";"5";"6";"9";"Prova Objetiva";" - "
"AEM1BN-AIB - Estatística Aplicada";"6";"3";"12";"Prova Objetiva";" - "
"AEM1BN-AIB - Estatística Aplicada";"7";"11";"4";"Prova Objetiva";" - "
"AEM1BN-AIB - Estatística Aplicada";"8";"11";"4";"Prova Objetiva";" - "
"AEM1BN-AIB - Macroeconomia";"2";"5";"10";"Prova Objetiva";" - "
"AEM1BN-AIB - Macroeconomia";"3";"3";"12";"Prova Objetiva";" - "
"AEM1BN-AIB - Macroeconomia";"4";"7";"8";"Prova Objetiva";" - "
"AEM1BN-AIB - Macroeconomia";"5";"4";"11";"Prova Objetiva";" - "
"AEM1BN-AIB - Macroeconomia";"6";"6";"9";"Prova Objetiva";" - "
"AEM1BN-AIB - Macroeconomia";"7";"9";"6";"Prova Objetiva";" - "
"AEM1BN-AIB - Macroeconomia";"8";"0";"15";"Prova Objetiva";" - "
"AEM1BN-BRA - Estatística Aplicada";"2";"7";"2";"Prova Objetiva";" - "
"AEM1BN-BRA - Estatística Aplicada";"3";"4";"5";"Prova Objetiva";" - "
"AEM1BN-BRA - Estatística Aplicada";"4";"2";"7";"Prova Objetiva";" - "
"AEM1BN-BRA - Estatística Aplicada";"5";"2";"7";"Prova Objetiva";" - "
"AEM1BN-BRA - Estatística Aplicada";"6";"1";"8";"Prova Objetiva";" - "
"AEM1BN-BRA - Estatística Aplicada";"7";"1";"8";"Prova Objetiva";" - "
"AEM1BN-BRA - Estatística Aplicada";"8";"7";"2";"Prova Objetiva";" - "
"AEM1BN-BRA - Macroeconomia";"2";"5";"4";"Prova Objetiva";" - "
"AEM1BN-BRA - Macroeconomia";"3";"7";"2";"Prova Objetiva";" - "
"AEM1BN-BRA - Macroeconomia";"4";"8";"1";"Prova Objetiva";" - "
"AEM1BN-BRA - Macroeconomia";"5";"7";"2";"Prova Objetiva";" - "
"AEM1BN-BRA - Macroeconomia";"6";"5";"4";"Prova Objetiva";" - "
"AEM1BN-BRA - Macroeconomia";"7";"7";"2";"Prova Objetiva";" - "
"AEM1BN-BRA - Macroeconomia";"8";"0";"9";"Prova Objetiva";" - "
"AEM1BN-COA - Estatística Aplicada";"2";"23";"5";"Prova Objetiva";" - "
"AEM1BN-COA - Estatística Aplicada";"3";"1";"27";"Prova Objetiva";" - "
