"CURSO";"N° QUESTÃO";"N° ACERTOS";"N° ERROS";"NOME PROVA";"OPÇÃO LÍNGUA"
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"1";"18";"4";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"2";"19";"3";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"3";"12";"10";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"4";"18";"4";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"5";"15";"7";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"6";"15";"7";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"7";"13";"9";"Prova Objetiva";" - "
"EGM1AN-RJC - Introdução à Engenharia Mecânica";"8";"20";"2";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"1";"9";"1";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"2";"9";"1";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"3";"2";"8";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"4";"5";"5";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"5";"9";"1";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"6";"7";"3";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"7";"9";"1";"Prova Objetiva";" - "
"EGM1AN-RJB - Introdução à Engenharia Mecânica";"8";"0";"10";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"1";"11";"1";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"2";"12";"0";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"3";"12";"0";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"4";"10";"2";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"5";"5";"7";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"6";"11";"1";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"7";"10";"2";"Prova Objetiva";" - "
"EGM1AN-RJA - Introdução à Engenharia Mecânica";"8";"5";"7";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"1";"19";"6";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"2";"25";"0";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"3";"25";"0";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"4";"13";"12";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"5";"8";"17";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"6";"20";"5";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"7";"23";"2";"Prova Objetiva";" - "
"EGM1AN-RJD - Introdução à Engenharia Mecânica";"8";"11";"14";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"1";"0";"18";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"2";"12";"6";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"3";"5";"13";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"4";"12";"6";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"5";"16";"2";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"6";"14";"4";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"7";"7";"11";"Prova Objetiva";" - "
"EGM1AM-RJA - Introdução à Engenharia Mecânica";"8";"4";"14";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"1";"13";"5";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"2";"7";"11";"Prova Objetiva";" - "
"ECP1AN-RJA - Introdução à Engenharia de Computação";"3";"7";"11";"Prova Objetiva";" - "
